Rank,Username,Quizzes_Participated,Avg_Points,Avg_Time,Final_Score,Remark
1,bellabest,20,5.0,49.46,86.36363636363636,እግዚአብሔር ያክብራችሁ በርቱ🥰
2,dagiheb,19,4.7894736842105265,51.199999999999996,82.79922996411483,እግዚአብሔር ያክብራችሁ በርቱ🥰
3,Aklilu000,20,3.85,53.94500000000001,81.92174900361479,እግዚአብሔር ያክብራችሁ በርቱ🥰
4,BEING_MIAPHYSITE,18,4.944444444444445,50.44444444444444,81.01710942019312,እግዚአብሔር ያክብራችሁ በርቱ🥰
5,Gebre_selasie,20,4.3,63.135000000000005,79.57157102025242,እግዚአብሔር ያክብራችሁ በርቱ🥰
6,Psa_lm19,20,4.5,67.285,78.80496463483013,እግዚአብሔር ያክብራችሁ በርቱ🥰
7,infinity21B,20,4.1,79.965,74.95002074771348,እግዚአብሔር ያክብራችሁ በርቱ🥰
8,Secretmis,16,4.0625,48.75625,74.23295454545455,እግዚአብሔር ያክብራችሁ በርቱ🥰
9,jordaw,17,4.470588235294118,63.1,72.4702534810207,እግዚአብሔር ያክብራችሁ በርቱ🥰
10,Nablis_21,13,3.923076923076923,47.784615384615385,66.41608391608392,እግዚአብሔር ያክብራችሁ በርቱ🥰
11,nathy2127,17,4.294117647058823,93.42941176470588,65.63844284458445,እግዚአብሔር ያክብራችሁ በርቱ🥰
12,Sos50lp,12,4.083333333333333,39.916666666666664,64.28030303030303,እግዚአብሔር ያክብራችሁ በርቱ🥰
13,thanna_347,11,4.090909090909091,50.09090909090909,61.75214861034033,እግዚአብሔር ያክብራችሁ በርቱ🥰
14,Mis_iraq,14,4.0,74.95,60.76869428103585,እግዚአብሔር ያክብራችሁ በርቱ🥰
15,Hannibal,11,3.0,34.4,59.31818181818182,እግዚአብሔር ያክብራችሁ በርቱ🥰
16,Souljom,11,3.5454545454545454,54.22727272727273,58.608982840675296,እግዚአብሔር ያክብራችሁ በርቱ🥰
17,Tihtina20,10,3.9,51.57000000000001,58.10253494808468,እግዚአብሔር ያክብራችሁ በርቱ🥰
18,bruktawit16,11,3.8181818181818183,66.15454545454546,55.07283505031704,እግዚአብሔር ያክብራችሁ በርቱ🥰
19,tsedal_12,8,4.5,53.9875,53.380780483697826,እግዚአብሔር ያክብራችሁ በርቱ🥰
20,Jude2124,9,3.3333333333333335,56.977777777777774,52.01413511085899,እግዚአብሔር ያክብራችሁ በርቱ🥰
21,herrybm97,9,3.5555555555555554,59.07777777777778,51.73935613422166,እግዚአብሔር ያክብራችሁ በርቱ🥰
22,K_D271,10,4.1,72.44,51.57384167461473,እግዚአብሔር ያክብራችሁ በርቱ🥰
23,Zm_rabbi,9,1.2222222222222223,46.71111111111111,50.27777777777778,እግዚአብሔር ያክብራችሁ በርቱ🥰
24,Hemen6254,7,3.142857142857143,48.214285714285715,49.64285714285714,እግዚአብሔር ያክብራችሁ በርቱ🥰
25,Hc2812,9,4.111111111111111,70.78888888888889,49.50157278323971,እግዚአብሔር ያክብራችሁ በርቱ🥰
26,sergut19,10,3.1,76.5,48.3853238265003,እግዚአብሔር ያክብራችሁ በርቱ🥰
27,semwwn,10,4.5,111.4,46.44809858005549,እግዚአብሔር ያክብራችሁ በርቱ🥰
28,Bersi3_19,6,4.0,56.76666666666666,46.11087385896547,እግዚአብሔር ያክብራችሁ በርቱ🥰
